Id,Name,Number of Recordings,Latitude,Longitude,Altitude,Timezone,Skip,Group
52597,2022 Panoche Creek Preserve Loc3,6990,36.5910,-120.5910,207,America/Los_Angeles,,CNLM
52598,2022 Panoche Creek Preserve Loc4,1644,36.5910,-120.7690,319,America/Los_Angeles,,CNLM
34130,2022 Panoche Creek Preserve Loc5,5040,36.5910,-120.7690,319,America/Los_Angeles,,CNLM
34012,2022 Plumas Arboga East,7896,39.0374,-121.5340,18,America/Los_Angeles,,Central Sacramento Valley
34013,2022 Plumas Arboga West,6897,39.0374,-121.5370,18,America/Los_Angeles,Dupe,Central Sacramento Valley
34131,2022 Private Site 1 - not real lat lon,3239,37.0000,-120.0000,92,America/Los_Angeles,,Dairies
34133,2022 Private Site 2 - not real lat lon,932,37.0000,-120.0000,92,America/Los_Angeles,,Dairies
34132,2022 Private Site 3 - not real lat lon,3228,37.0000,-120.0000,92,America/Los_Angeles,,Dairies
34045,2022 Rancho Jamul,8547,,,236,America/Los_Angeles,,Rancho Jamul
33985,2022 Sedgwick,7703,34.6950,-120.0420,343,America/Los_Angeles,,Sedgwick
